"pair","timeframe","year","image_count"
"GBPUSD","H1","2020","50"
"GBPUSD","H1","2021","50"
"GBPUSD","H1","2022","50"
"GBPUSD","H1","2023","50"
"GBPUSD","H1","2024","50"
"GBPUSD","H1","2025","50"
"GBPUSD","H4","2020","15"
"GBPUSD","H4","2021","15"
"GBPUSD","H4","2022","15"
"GBPUSD","H4","2023","15"
"GBPUSD","H4","2024","15"
"GBPUSD","H4","2025","15"
"GBPUSD","M15","2020","50"
"GBPUSD","M15","2021","50"
"GBPUSD","M15","2022","50"
"GBPUSD","M15","2023","50"
"GBPUSD","M15","2024","50"
"GBPUSD","M15","2025","50"
"GBPUSD","M5","2020","50"
"GBPUSD","M5","2021","50"
"GBPUSD","M5","2022","50"
"GBPUSD","M5","2023","50"
"GBPUSD","M5","2024","50"
"GBPUSD","M5","2025","50"
"XAUUSD","H1","2020","50"
"XAUUSD","H1","2021","50"
"XAUUSD","H1","2022","50"
"XAUUSD","H1","2023","50"
"XAUUSD","H1","2024","50"
"XAUUSD","H1","2025","50"
"XAUUSD","H4","2020","15"
"XAUUSD","H4","2021","15"
"XAUUSD","H4","2022","15"
"XAUUSD","H4","2023","15"
"XAUUSD","H4","2024","15"
"XAUUSD","H4","2025","15"
"XAUUSD","M15","2020","50"
"XAUUSD","M15","2021","50"
"XAUUSD","M15","2022","50"
"XAUUSD","M15","2023","50"
"XAUUSD","M15","2024","50"
"XAUUSD","M15","2025","50"
"XAUUSD","M5","2020","50"
"XAUUSD","M5","2021","50"
"XAUUSD","M5","2022","50"
"XAUUSD","M5","2023","50"
"XAUUSD","M5","2024","50"
"XAUUSD","M5","2025","50"
